DateTime,AirportDistance,AltAGL,AltMSL Lag Diff,amp1,amp2,AOASimple,CAS,Coordination Index,E1 CHT Divergence,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT Divergence,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 FFlow,E1 OilP,E1 OilT,E1 RPM,FQtyL,FQtyR,GndSpd,HAL,HDG,HPLfd,IAS,LatAc,LOC-I Index,NAV1,NAV2,NormAc,OAT,Pitch,Roll,RunwayDistance,Stall Index,TAS,Total Fuel,TRK,volt1,volt2,VPLwas,VSpd,VSpd Calculated,VSpdG
16078,783.983223,113,81.8,0.6,0,2.363732155,62.821,58.90051806,4.5,275.45,277.68,273.18,273.53,58.04,1200.51,1239.6,1181.56,1193.96,15.77,73.58,163.11,2374.8,17.55,18.94,59.38,1852,130.1,16,60.22,-0.02,0.092816699,116.2,114.3,0.04,22,6.42,-1.19,1.346699517,0.157582144,62,36.49,132,28,28,15,324.53,450,413.4
16378,1889.018004,86,90.8,2.6,0,4.15598292,65.124,39.12933207,6.04,279.07,283.82,279.44,277.78,60.41,1221.73,1261.27,1200.86,1217.92,15.76,72.9,162.73,2367.1,17.81,17.82,61.4,1852,134.9,17,63.51,0,0.108413891,116.2,114.3,-0.11,22.5,5.72,0.33,23.54814889,0.277065528,66,35.63,133.4,27.9,27.9,16,516.96,180,220.5
16377,1789.402762,82,86.9,2.7,0,4.355450556,64.851,35.98146123,5.88,278.43,283.17,278.82,277.29,59.87,1219.7,1259.71,1199.84,1215.9,15.82,73.09,162.74,2362.5,17.76,17.84,60.22,1852,134,16.5,63.12,0,0.104476984,116.2,114.3,-0.01,22.5,7.76,1.92,20.4835227,0.29036337,65,35.6,133,27.9,27.9,17,681.72,390,350.4
15211,3339.097437,305,88.5,0.6,0.1,3.516246849,73.73,61.39578574,12.57,337.48,328.64,331.63,324.91,64.16,1247.17,1284.48,1220.32,1241.73,15.57,72.57,160.03,2383.1,17.57,21.57,70.05,1852,137.5,19.5,73.73,-0.03,0.143921825,116.2,114.3,0.05,22.2,9.05,0.33,500,0.234416457,76,39.14,139,28,28,16,594.99,720,535.4
1919,2940.33137,160,77.5,2,0.1,3.978327438,65.194,39.75082989,26.31,312.41,286.1,303.19,297.14,33.07,1261.35,1287.54,1280.88,1294.42,15.29,60.33,178.2,2401.1,13.61,16.49,66.79,3704,208.4,12,63.61,-0.01,0.105427878,109.2,110.1,-0.06,29.2,8.67,-1.08,500,0.265221829,66,30.1,208.6,28.1,28.1,14,373.63,540,531.5
538,508.9059951,24,12.9,2.7,0.3,0.685728293,64.697,1.030721985,31.57,350.5,331.81,363.38,345.74,34.17,1259.83,1286.81,1281.29,1294,15.32,61.62,184.7,2391.7,14.85,20.08,64.75,3704,211.5,13.5,62.9,-0.03,0.000471,109.2,110.1,-0.04,30.2,10.44,0.97,0.24820593,0.04571522,65,34.93,210.9,28.1,28.1,14,270.77,1110,692.9
15232,6090.128697,534,118.1,0.6,0.1,2.851448705,76.7,100,13.13,346.63,339.49,340.42,333.5,63.09,1248.39,1289.16,1226.07,1241.11,15.66,71.88,160.96,2405.6,17.84,20.89,72.06,1852,136.9,19,76.7,0,0.19009658,116.2,114.3,0.1,21.8,9.06,-1.64,500,0.19009658,80,38.73,140.4,28,28,16,586.76,840,610.2
15874,10000,626,98.7,1.1,0.1,1.846214968,85.25,100,10.61,319.25,323.89,317.5,313.28,63.11,1250.64,1290.59,1227.48,1247.27,15.57,72.36,163.74,2461.3,16.54,19.93,83.14,1852,73.1,14.5,85.25,0.02,0.123080998,116.2,114.3,0.12,21.2,7.43,-27.17,500,0.123080998,89,36.47,70.4,28,28,18,644.46,840,649.6
15528,4543.810551,263,114,1.1,0.1,3.342952052,79.76,40.97837815,8.74,302.68,306.93,299.96,298.19,62.66,1246.82,1289.22,1226.56,1242.56,15.73,72.33,163.69,2435.8,17.55,20.19,74.53,1852,134.4,19,79.76,0,0.091325836,116.2,114.3,-0.06,22,8.03,-2.07,500,0.22286347,83,37.74,134.4,28,28,16,755.26,660,665.4
15810,921.5918865,1,1.4,3.7,0.1,4.24161051,59.468,37.28390411,5.95,273.59,279.47,273.52,275.22,61.49,1200.22,1237.11,1175.62,1198.76,15.76,73.62,164.92,2344.3,17.68,20.09,57.07,1852,130.6,18.5,55.43,-0.04,0.1054292,116.2,114.3,0.01,22.8,6.24,2.09,3.829754208,0.282774034,57,37.77,131.5,28,27.9,16,-88.16,210,35.4
1874,1851.058625,29,-84.1,2,0.1,5.519439486,62.772,33.98470977,26.89,302.3,275.41,294.61,295.58,47.61,1200.06,1171.59,1218.86,1171.25,3.83,51.5,181.1,1493.5,13.98,17.52,63.78,3704,209.4,12.5,60.15,0.01,0.125051033,109.2,110.1,0.01,28.5,1.46,-0.4,2.523596194,0.367962632,62,31.5,209.2,28.1,28.1,14,-357.32,-450,-291.3
15759,1415.952147,11,-42.9,0.5,0,8.118392464,57.27,13.14628897,3.18,277.64,278.91,275.73,276.5,63.91,1137.64,1171.84,1107.93,1157.91,1.94,53.85,164.3,869.8,17.63,20.49,53.12,1852,133.6,18,52.29,0.02,0.071151156,116.2,114.3,0.18,22.2,5.45,1.24,14.93352692,0.541226164,54,38.12,131.4,27.9,27.9,16,-151.58,-270,-228.3
9646,977.1947948,14,23.2,0,0,6.002882547,64.403,81.70539409,85.42,295.69,327.71,274.18,359.6,15.28,1251.9,1261.35,1267.18,1262.56,15.18,67.85,180.9,2419.6,15.82,15.46,63.51,3704,236.8,11,62.48,0.01,0.326978589,110.3,110.3,0.02,32.2,6.53,2.52,1.509276525,0.40019217,65,31.28,234.5,28.2,28.1,14,354.45,60,192.9
15174,874.7279882,10,8.8,0.6,0.1,5.220069161,60.602,70.18764143,9.04,317.84,308.8,312.22,310.29,52.88,1214.77,1246.69,1193.81,1206.8,15.68,73.45,160.44,2318.3,18.17,21.87,56.23,1852,127.7,16,57.05,-0.06,0.244256228,116.2,114.3,0.15,23.5,13.37,5.65,12.05255362,0.348004611,59,40.04,130.8,28,27.9,15,174.54,870,405.5
9651,410.6400396,35,39.6,0,0,5.72611121,64.865,54.18983613,83.83,300.03,330.41,278.81,362.64,14.75,1262.05,1270.17,1276.8,1272.21,15.34,67.38,180.79,2445.4,16.55,14.39,69.18,3704,238.7,11,63.14,0.01,0.206864685,110.3,110.3,0.11,32.2,7.82,0.69,14.47855915,0.381740747,66,30.94,236.8,28.2,28.1,14,157.26,240,326.8
1202,1508.108082,9,-67.4,2.1,0,8.025403335,60.406,100,22.12,305.53,283.41,300.62,302.91,113.51,1135.17,1072.58,1186.09,1124.22,1.21,41.82,182.48,888.9,14.59,19.34,62.9,3704,212.9,14,56.77,0.01,0.535026889,109.2,110.1,-0.01,28.2,4.37,-2.52,3.859114364,0.535026889,58,33.93,210.1,27.9,28,14,-492.83,-390,-110.2
875,61.67726644,6,-6.2,3.4,0.2,4.687346638,52.104,13.32057636,20.22,314.59,294.37,310.76,312.59,89.88,1112.91,1050.33,1140.21,1127.03,15.29,61.67,183.84,2363.6,14.81,19.24,48.15,3704,210,14,44.91,-0.02,0.041625439,109.2,110.1,-0.02,29.2,3.71,0.45,7.167347109,0.312489776,46,34.05,209.8,28.1,28.1,14,-177.94,-90,-11.8
17784,2550.03696,4,-43.5,-0.6,-0.2,9.216088074,58.789,18.85240227,6.56,259.62,265.07,258.51,263.15,88.3,916.88,978.51,906.76,995.06,1.75,53.57,159.17,764.1,15.15,17.98,58.26,1852,358.6,18.5,54.46,0.01,0.115830267,116.2,114.3,0.11,21.5,5.46,0.53,2.036348344,0.614405872,56,33.13,357,26.9,26.9,17,-156.75,-390,-169.3
15757,1584.920384,17,-47.6,0.5,0,1.71267989,59.398,3.216367683,3.28,277.66,278.98,275.7,276.58,41.95,1189.58,1204.77,1162.82,1180.44,2.85,58.17,164.38,1149.8,17.5,20.56,55.79,1852,131.3,18.5,55.33,-0.01,0.003672405,116.2,114.3,0,22.2,2.57,0.86,14.50387061,0.114178659,57,38.06,130.3,28,28,16,-252.32,90,-86.6
